domain,prompt,n_rows,layer,accuracy,auc,separability_auc
landmark_country,statement_is,60,11,0.6111111111111112,0.7407407407407407,0.7407407407407407
landmark_country,answer,60,0,0.5,0.5925925925925926,0.5925925925925926
landmark_country,answer,60,1,0.3333333333333333,0.41975308641975306,0.5802469135802469
landmark_country,answer,60,2,0.5,0.4444444444444444,0.5555555555555556
landmark_country,answer,60,3,0.5555555555555556,0.4814814814814815,0.5185185185185185
landmark_country,answer,60,4,0.5555555555555556,0.6790123456790124,0.6790123456790124
landmark_country,answer,60,5,0.7222222222222222,0.7037037037037037,0.7037037037037037
landmark_country,answer,60,6,0.6666666666666666,0.691358024691358,0.691358024691358
landmark_country,answer,60,7,0.6111111111111112,0.5925925925925926,0.5925925925925926
landmark_country,answer,60,8,0.5555555555555556,0.6296296296296298,0.6296296296296298
landmark_country,answer,60,9,0.6111111111111112,0.6296296296296297,0.6296296296296297
landmark_country,answer,60,10,0.6111111111111112,0.6172839506172839,0.6172839506172839
landmark_country,answer,60,11,0.6111111111111112,0.5925925925925926,0.5925925925925926
landmark_country,question,60,0,0.5555555555555556,0.617283950617284,0.617283950617284
landmark_country,question,60,1,0.4444444444444444,0.4938271604938272,0.5061728395061729
landmark_country,question,60,2,0.5555555555555556,0.5308641975308642,0.5308641975308642
landmark_country,question,60,3,0.5,0.5061728395061729,0.5061728395061729
landmark_country,question,60,4,0.6666666666666666,0.6666666666666667,0.6666666666666667
landmark_country,question,60,5,0.6111111111111112,0.6666666666666667,0.6666666666666667
landmark_country,question,60,6,0.5555555555555556,0.691358024691358,0.691358024691358
landmark_country,question,60,7,0.6111111111111112,0.6913580246913581,0.6913580246913581
landmark_country,question,60,8,0.6666666666666666,0.6666666666666667,0.6666666666666667
landmark_country,question,60,9,0.6666666666666666,0.6296296296296297,0.6296296296296297
landmark_country,question,60,10,0.6666666666666666,0.6358024691358025,0.6358024691358025
landmark_country,question,60,11,0.6666666666666666,0.6666666666666666,0.6666666666666666
science,statement_is,50,0,0.375,0.40625,0.59375
science,statement_is,50,1,0.375,0.453125,0.546875
science,statement_is,50,2,0.5625,0.453125,0.546875
science,statement_is,50,3,0.375,0.484375,0.515625
science,statement_is,50,4,0.5625,0.53125,0.53125
science,statement_is,50,5,0.4375,0.390625,0.609375
science,statement_is,50,6,0.3125,0.453125,0.546875
science,statement_is,50,7,0.4375,0.453125,0.546875
science,statement_is,50,8,0.375,0.421875,0.578125
science,statement_is,50,9,0.3125,0.375,0.625
science,statement_is,50,10,0.375,0.390625,0.609375
science,statement_is,50,11,0.4375,0.421875,0.578125
science,answer,50,0,0.375,0.421875,0.578125
science,answer,50,1,0.5,0.5,0.5
science,answer,50,2,0.4375,0.5,0.5
science,answer,50,3,0.375,0.390625,0.609375
science,answer,50,4,0.4375,0.5,0.5
science,answer,50,5,0.4375,0.5,0.5
science,answer,50,6,0.3125,0.40625,0.59375
science,answer,50,7,0.3125,0.46875,0.53125
science,answer,50,8,0.4375,0.4375,0.5625
science,answer,50,9,0.4375,0.453125,0.546875
science,answer,50,10,0.4375,0.46875,0.53125
science,answer,50,11,0.375,0.46875,0.53125
science,question,50,0,0.4375,0.453125,0.546875
science,question,50,1,0.375,0.40625,0.59375
science,question,50,2,0.5,0.484375,0.515625
science,question,50,3,0.4375,0.53125,0.53125
science,question,50,4,0.375,0.46875,0.53125
science,question,50,5,0.5,0.40625,0.59375
science,question,50,6,0.4375,0.453125,0.546875
science,question,50,7,0.5,0.453125,0.546875
science,question,50,8,0.4375,0.5,0.5
science,question,50,9,0.5,0.40625,0.59375
science,question,50,10,0.375,0.40625,0.59375
science,question,50,11,0.375,0.421875,0.578125
math,statement_is,40,0,0.5,0.5833333333333335,0.5833333333333335
math,statement_is,40,1,0.5,0.6111111111111112,0.6111111111111112
math,statement_is,40,2,0.5,0.5833333333333334,0.5833333333333334
math,statement_is,40,3,0.5,0.5,0.5
math,statement_is,40,4,0.5,0.4444444444444444,0.5555555555555556
math,statement_is,40,5,0.5,0.5555555555555556,0.5555555555555556
